sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
2;assignment_try_START>forum_vis_START;251;690438;508330.2430278885;9066;50;251;251;1.27 (+- 0.52);1.5;1.5;2
2;assignment_try_START>resource_vis_END;386;690528;588765.4248704663;68294;320;386;386;1.22 (+- 0.52);1.5;1.5;2
2;assignment_sub_START>assignment_vis_START;1025;690598;492821.2975609756;469879;1779;1025;1025;1.24 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_vis_END;947;690598;590505.2312565998;692082;2562;947;947;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_END;794;690598;594537.6700251889;460386;1692;794;794;1.22 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_sub_END;948;690598;590391.0864978903;557073;2049;948;948;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_START;344;690258;341632.75;12263;59;344;344;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_sub_START;261;690185;211293.80842911877;6699;32;261;261;1.25 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>forum_vis_START;233;690438;524795.7768240343;8669;49;233;233;1.29 (+- 0.50);1.5;1.5;2
2;assignment_sub_START>resource_vis_START;167;690157;464067.23353293416;334;2;167;167;1.22 (+- 0.54);1.5;1.5;2
2;assignment_sub_START>forum_vis_END;229;690506;598191.3930131005;11128;60;229;229;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>resource_vis_END;384;690528;596674.5729166666;70500;330;384;384;1.22 (+- 0.52);1.5;1.5;2
2;assignment_vis_END>assignment_try_END;1324;690598;451185.3262839879;784211;2863;1324;1324;1.21 (+- 0.54);1.0;1.5;2
2;assignment_vis_END>assignment_vis_END;1351;690598;468639.3708364175;1113785;4118;1351;1351;1.23 (+- 0.53);1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;1518;690598;463959.2371541502;1031772;3748;1518;1518;1.21 (+- 0.54);1.0;1.5;2
2;assignment_vis_END>forum_vis_END;293;690598;491848.53924914676;15046;78;293;293;1.27 (+- 0.53);1.5;1.5;2
2;assignment_vis_END>resource_vis_END;495;690598;462841.07272727275;75563;353;495;495;1.23 (+- 0.53);1.5;1.5;2
2;assignment_try_END>assignment_vis_END;968;690540;466196.0506198347;507250;1864;968;968;1.26 (+- 0.52);1.5;1.5;2
2;assignment_try_END>assignment_sub_END;1324;690598;451185.3262839879;670533;2408;1324;1324;1.21 (+- 0.54);1.0;1.5;2
2;assignment_try_END>assignment_try_END;703;690319;457014.64580369845;253238;948;703;703;1.27 (+- 0.52);1.5;1.5;2
2;assignment_try_END>forum_vis_END;170;689458;480082.46470588236;1348;8;170;170;1.33 (+- 0.48);1.5;1.5;2
2;assignment_try_END>resource_vis_END;265;688962;465316.3245283019;5330;26;265;265;1.21 (+- 0.54);1.5;1.5;2
2;assignment_sub_END>assignment_vis_END;891;690554;475954.76767676766;478268;1754;891;891;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_try_END;691;690540;459046.57597684517;261040;974;691;691;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_sub_END;892;690554;475423.51569506724;374478;1351;892;892;1.27 (+- 0.52);1.5;1.5;2
2;resource_vis_START>assignment_sub_START;623;690305;374605.68218298553;73515;335;623;623;1.11 (+- 0.63);1.0;1.5;2
2;resource_vis_START>assignment_vis_START;698;690526;401317.4971346705;138876;631;698;698;1.13 (+- 0.61);1.0;1.5;2
2;resource_vis_START>assignment_try_START;499;690249;370670.73146292585;39455;186;499;499;1.12 (+- 0.63);1.0;1.5;2
2;resource_vis_START>resource_vis_START;351;690259;425459.33903133904;9275;45;351;351;1.15 (+- 0.60);1.0;1.5;2
2;resource_vis_START>forum_vis_START;212;690526;465121.03301886795;1222;7;212;212;1.23 (+- 0.55);1.5;1.5;2
2;resource_vis_START>assignment_vis_END;511;690526;578564.9138943248;150016;700;511;511;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_sub_END;512;690526;578376.888671875;113133;527;512;512;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_try_END;404;690526;582459.6509900991;72136;350;404;404;1.21 (+- 0.54);1.5;1.5;2
2;resource_vis_START>resource_vis_END;286;690470;582257.5944055944;21918;114;286;286;1.22 (+- 0.53);1.5;1.5;2
2;forum_vis_START>forum_vis_START;386;690438;475043.4766839378;36062;183;386;386;1.24 (+- 0.55);1.5;1.5;2
2;forum_vis_START>assignment_vis_START;378;690584;449179.5291005291;21853;111;378;378;1.23 (+- 0.56);1.5;1.5;2
2;forum_vis_START>resource_vis_START;186;690526;430377.58602150535;186;1;186;186;1.16 (+- 0.62);1.0;1.5;2
2;forum_vis_START>assignment_sub_START;259;690305;396561.3667953668;3176;17;259;259;1.19 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_try_START;253;690438;403957.5849802372;3005;16;253;253;1.23 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_vis_END;374;690584;569960.5374331551;54355;278;374;374;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>assignment_sub_END;375;690584;569726.7653333333;44566;229;375;375;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>assignment_try_END;300;690584;571038.0533333333;24532;130;300;300;1.27 (+- 0.53);1.5;1.0;2
2;forum_vis_START>forum_participation_START;190;690266;478050.4684210526;874;5;190;190;1.28 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_END;205;690482;573787.424390244;4932;28;205;205;1.31 (+- 0.52);1.5;1.5;2
2;forum_vis_START>resource_vis_END;170;690296;577616.1529411764;674;4;170;170;1.29 (+- 0.52);1.5;1.5;2
2;forum_vis_END>assignment_vis_END;368;690598;494324.39130434784;32002;162;368;368;1.26 (+- 0.52);1.5;1.5;2
2;forum_vis_END>forum_vis_END;290;690598;501429.69310344825;18154;94;290;290;1.31 (+- 0.51);1.5;1.5;2
2;forum_vis_END>forum_participation_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_vis_END>assignment_try_END;287;690598;483514.7909407666;9804;50;287;287;1.25 (+- 0.52);1.5;1.5;2
2;forum_vis_END>assignment_sub_END;371;690598;493555.56603773584;29203;147;371;371;1.26 (+- 0.52);1.5;1.5;2
2;forum_participation_END>assignment_vis_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_participation_END>assignment_sub_END;167;690133;507919.41916167666;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
2;forum_participation_START>forum_vis_START;172;690266;477375.91279069765;505;3;172;172;1.27 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_vis_END;617;690598;466191.2463533225;140671;647;617;617;1.23 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_try_END;467;690598;449839.3683083512;62111;297;467;467;1.22 (+- 0.53);1.5;1.5;2
2;resource_vis_END>assignment_sub_END;634;690598;466456.45583596214;125696;572;634;634;1.23 (+- 0.53);1.5;1.5;2
2;resource_vis_END>resource_vis_END;248;690598;481969.8185483871;3828;20;248;248;1.22 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_START;1315;690598;383582.9422053232;214525;811;1315;1315;1.08 (+- 0.63);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_START;1102;690598;459829.4346642468;284268;1100;1102;1102;1.20 (+- 0.57);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_vis_END;947;690598;584345.6388595565;390035;1482;947;947;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_try_END;755;690598;591333.1430463577;250462;953;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_sub_END;948;690598;584237.9915611814;314418;1191;948;948;1.23 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>resource_vis_START;335;690451;440359.5104477612;4912;24;335;335;1.18 (+- 0.59);1.0;1.5;2
3;assignment_vis_START>assignment_try_START>assignment_try_START;316;690185;317986.15506329114;4468;21;316;316;1.24 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>forum_vis_END;225;690506;593215.6711111111;4826;26;225;225;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>forum_vis_START;251;690438;508330.2430278885;4533;25;251;251;1.27 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_try_START>resource_vis_END;386;690528;588765.4248704663;36993;174;386;386;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_vis_START;1025;690598;492821.2975609756;290416;1130;1025;1025;1.24 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_vis_END;947;690598;590505.2312565998;428553;1636;947;947;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_try_END;794;690598;594537.6700251889;279396;1064;794;794;1.22 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_sub_END;948;690598;590391.0864978903;342141;1299;948;948;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_try_START;344;690258;341632.75;7029;34;344;344;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>assignment_sub_START;261;690185;211293.80842911877;4071;20;261;261;1.25 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>forum_vis_START;233;690438;524795.7768240343;4416;25;233;233;1.29 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>resource_vis_START;167;690157;464067.23353293416;167;1;167;167;1.22 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>forum_vis_END;229;690506;598191.3930131005;5564;30;229;229;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_sub_START>resource_vis_END;384;690528;596674.5729166666;39428;186;384;384;1.22 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_vis_START;1272;690598;434813.8852201258;535359;2150;1272;1272;1.15 (+- 0.59);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_vis_END;1087;690598;575856.5731370745;812794;3159;1087;1087;1.23 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_END;902;690598;578931.5055432372;507454;1999;902;902;1.23 (+- 0.53);1.25;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_END;1088;690598;575770.5799632353;650882;2529;1088;1088;1.23 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_try_START;1001;690598;375755.86213786213;163901;686;1001;1001;1.11 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>resource_vis_START;475;690526;401910.5915789474;20721;98;475;475;1.14 (+- 0.60);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>assignment_sub_START;1082;690598;374696.26894639555;213511;883;1082;1082;1.09 (+- 0.63);1.0;1.5;2
3;assignment_vis_START>assignment_vis_START>forum_vis_START;323;690584;478136.02786377707;11529;60;323;323;1.26 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>forum_vis_END;262;690598;581517.5916030534;10266;54;262;262;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_START>resource_vis_END;456;690598;579549.7675438597;80183;381;456;456;1.22 (+- 0.51);1.25;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_try_END;1011;690598;571805.509396637;590927;2230;1011;1011;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_vis_END;1076;690598;572093.1858736059;853816;3251;1076;1076;1.24 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_sub_END;1203;690598;569421.5852036575;791930;2962;1203;1203;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_vis_END>forum_vis_END;232;690598;581299.3793103448;5906;32;232;232;1.27 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;382;690598;576895.2513089005;49386;239;382;382;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_vis_END;758;690540;572956.0936675462;380284;1446;758;758;1.25 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_sub_END;1011;690598;571805.509396637;507458;1886;1011;1011;1.22 (+- 0.53);1.0;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_try_END;532;690319;575402.007518797;186490;728;532;532;1.25 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_try_END>resource_vis_END;202;688962;575453.3613861386;2936;16;202;202;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_vis_END;711;690554;575146.2348804501;361830;1378;711;711;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_try_END;530;690540;573418.4660377358;193466;754;530;530;1.26 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>assignment_sub_END>assignment_sub_END;711;690554;575146.2348804501;285066;1070;711;711;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_START;495;690305;363120.52323232323;21649;101;495;495;1.12 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_START;554;690526;396073.7075812274;43171;200;554;554;1.15 (+- 0.60);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_try_START;362;690230;354915.2955801105;7150;34;362;362;1.15 (+- 0.62);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>resource_vis_START;290;690259;427856.85862068966;2474;12;290;290;1.13 (+- 0.60);1.0;1.5;2
3;assignment_vis_START>resource_vis_START>forum_vis_START;169;690526;473720.97633136093;169;1;169;169;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_vis_END;413;690526;578926.4915254237;48149;231;413;413;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_sub_END;414;690526;578693.0845410628;35637;170;414;414;1.22 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>assignment_try_END;321;690526;583845.7757009346;19672;98;321;321;1.21 (+- 0.55);1.5;1.5;2
3;assignment_vis_START>resource_vis_START>resource_vis_END;228;690451;581045.6359649122;5128;28;228;228;1.21 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>forum_vis_START;321;690438;483109.476635514;12813;67;321;321;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_vis_START;296;690584;452104.0506756757;6599;35;296;296;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_sub_START;185;690305;372166.43783783785;368;2;185;185;1.19 (+- 0.60);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_try_START;173;690223;386021.38150289014;344;2;173;173;1.26 (+- 0.59);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_vis_END;311;690584;573422.9324758842;20843;109;311;311;1.27 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_sub_END;312;690584;573130.858974359;16985;89;312;312;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>assignment_try_END;249;690584;576000.2248995984;7778;42;249;249;1.26 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>forum_vis_START>forum_vis_END;168;690238;577542.1488095238;672;4;168;168;1.31 (+- 0.53);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_vis_END;298;690598;575584.600671141;14694;76;298;298;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>forum_vis_END;239;690598;573064.9163179917;7072;38;239;239;1.33 (+- 0.50);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_try_END;225;690598;574009.4311111111;3046;16;225;225;1.27 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>forum_vis_END>assignment_sub_END;300;690598;575734.3566666667;13816;71;300;300;1.28 (+- 0.52);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_vis_END;484;690598;574211.8615702479;92338;438;484;484;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_try_END;350;690598;577158.4428571429;34222;169;350;350;1.21 (+- 0.51);1.0;1.5;2
3;assignment_vis_START>resource_vis_END>assignment_sub_END;499;690598;573162.6813627254;82758;388;499;499;1.23 (+- 0.51);1.5;1.5;2
3;assignment_vis_START>resource_vis_END>resource_vis_END;197;690598;580104.1370558375;1474;8;197;197;1.22 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_vis_START;901;690598;484107.8102108768;192534;744;901;901;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_vis_END;824;690598;588961.2463592233;283534;1064;824;824;1.23 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_try_END;720;690598;593362.95;200722;750;720;720;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_sub_END;825;690598;588831.9551515152;229387;855;825;825;1.23 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_try_START;256;690185;278682.7109375;2940;14;256;256;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>assignment_sub_START;232;690185;187618.7370689655;2785;14;232;232;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>forum_vis_END;191;690506;596359.5183246073;2824;16;191;191;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>forum_vis_START;199;690438;520340.5075376884;2068;12;199;199;1.27 (+- 0.50);1.5;1.5;2
3;assignment_try_START>assignment_sub_START>resource_vis_END;330;690528;595000.4727272728;24044;114;330;330;1.21 (+- 0.52);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_vis_START;802;690561;463050.8765586035;196231;821;802;802;1.23 (+- 0.55);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_vis_END;837;690598;586646.9426523298;380404;1468;837;837;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_try_END;673;690598;593045.0534918277;251420;982;673;673;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_END;838;690598;586522.4188544153;307608;1184;838;838;1.24 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_try_START;315;690185;318989.69523809524;4724;22;315;315;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>assignment_sub_START;587;690230;351050.7461669506;30626;136;587;587;1.17 (+- 0.59);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>forum_vis_END;200;690506;594627.175;2896;16;200;200;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>forum_vis_START;200;690438;517809.805;1736;10;200;200;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_vis_START>resource_vis_START;205;690157;450378.7268292683;410;2;205;205;1.15 (+- 0.58);1.0;1.5;2
3;assignment_try_START>assignment_vis_START>resource_vis_END;347;690528;590568.8213256485;31026;148;347;347;1.21 (+- 0.52);1.0;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_try_END;755;690598;591333.1430463577;317465;1204;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_vis_END;841;690598;586974.9762187871;440786;1687;841;841;1.25 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>assignment_sub_END;947;690598;584345.6388595565;411622;1541;947;947;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>forum_vis_END;175;690506;597413.12;1388;8;175;175;1.27 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_vis_END>resource_vis_END;291;690528;593534.6082474227;21028;104;291;291;1.23 (+- 0.53);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_vis_END;556;690524;593464.0179856115;199418;758;556;556;1.26 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_sub_END;755;690598;591333.1430463577;272128;1013;755;755;1.23 (+- 0.54);1.5;1.5;2
3;assignment_try_START>assignment_try_END>assignment_try_END;382;690303;601602.5183246073;104796;412;382;382;1.26 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_vis_END;537;690538;595455.3296089385;190536;726;537;537;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_try_END;397;690524;597084.9622166246;109324;428;397;397;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>assignment_sub_END>assignment_sub_END;537;690538;595455.3296089385;150418;564;537;537;1.27 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_START;231;689334;376703.40692640695;854;4;231;231;1.17 (+- 0.60);1.0;1.0;2
3;assignment_try_START>resource_vis_START>assignment_vis_START;274;690451;434238.1678832117;3345;17;274;274;1.21 (+- 0.57);1.25;1.5;2
3;assignment_try_START>resource_vis_START>assignment_vis_END;240;690451;585702.8333333334;4600;24;240;240;1.24 (+- 0.55);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_try_END;169;690451;596060.9289940828;1352;8;169;169;1.23 (+- 0.55);1.5;1.5;2
3;assignment_try_START>resource_vis_START>assignment_sub_END;241;690451;585273.7593360996;3502;18;241;241;1.24 (+- 0.55);1.5;1.5;2
3;assignment_try_START>assignment_try_START>assignment_sub_START;240;690185;242473.34583333333;2797;14;240;240;1.21 (+- 0.56);1.25;1.5;2
3;assignment_try_START>assignment_try_START>assignment_vis_START;174;690157;423986.3850574713;694;4;174;174;1.26 (+- 0.54);1.5;1.5;2
3;assignment_try_START>forum_vis_END>assignment_vis_END;223;690506;593172.3318385651;5136;28;223;223;1.26 (+- 0.53);1.5;1.5;2
3;assignment_try_START>forum_vis_END>forum_vis_END;174;690416;594192.3908045978;1384;8;174;174;1.31 (+- 0.53);1.5;1.5;2
3;assignment_try_START>forum_vis_END>assignment_sub_END;225;690506;593215.6711111111;4826;26;225;225;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try_START>forum_vis_START>forum_vis_START;205;690438;511703.4292682927;1772;10;205;205;1.27 (+- 0.52);1.5;1.0;2
3;assignment_try_START>forum_vis_START>assignment_vis_START;173;690438;479403.69942196534;346;2;173;173;1.29 (+- 0.50);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_vis_END;211;690438;583627.2654028436;4260;24;211;211;1.27 (+- 0.51);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_try_END;162;690296;591137.5555555555;1296;8;162;162;1.25 (+- 0.51);1.5;1.5;2
3;assignment_try_START>forum_vis_START>assignment_sub_END;212;690438;583149.287735849;3902;22;212;212;1.28 (+- 0.51);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_vis_END;376;690528;589105.1781914893;41790;202;376;376;1.21 (+- 0.52);1.5;1.5;2
3;assignment_try_START>resource_vis_END>assignment_try_END;263;690528;597758.4562737643;17216;88;263;263;1.20 (+- 0.52);1.0;1.5;2
3;assignment_try_START>resource_vis_END>assignment_sub_END;386;690528;588765.4248704663;36286;172;386;386;1.22 (+- 0.52);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_vis_START;724;690584;472837.4419889503;159093;672;724;724;1.26 (+- 0.53);1.5;1.5;2
3;assignment_sub_START>assignment_vis_START>assignment_vis_END;836;690598;589695.1913875598;370985;1431;836;836;1.23 (+- 0.53);1.5;1.5;2
